month,main_tag,amount,percent,inverted_amount
2025-01,entertainment,-60.49,5.468269752305189,60.49
2025-01,food,-229.88,20.781052250949195,229.88
2025-01,other,-126.57000000000001,11.441873079009222,126.57000000000001
2025-01,rent,-228.28,20.636412945217863,228.28
2025-01,sports,-143.96,13.013921533176642,143.96
2025-01,transportation,-265.24,23.977580907611642,265.24
2025-01,unknown,-51.78,4.680889531730248,51.78
2025-02,entertainment,-53.29,2.4612954478273723,53.29
2025-02,food,-227.43,10.504267661838606,227.43
2025-02,gifts,-15.0,0.6928022465267515,15.0
2025-02,other,-608.77,28.11714824120603,608.77
2025-02,rent,-945.8100000000001,43.68395285249779,945.8100000000001
2025-02,transportation,-146.05,6.745584540348803,146.05
2025-02,trips,-23.0,1.0622967780076855,23.0
2025-02,unforesceen_expenses,-145.77,6.73265223174697,145.77
2025-03,entertainment,-97.89,-14.667585669548538,97.89
2025-03,food,-141.97,-21.272419424923957,141.97
2025-03,gifts,-25.5,-3.820854373005288,25.5
2025-03,other,-122.22,-18.313130253674757,122.22
2025-03,rent,1655.23,248.0154032874331,-1655.23
2025-03,transportation,-549.26,-82.29970482027,549.26
2025-03,trips,-50.0,-7.491871319618213,50.0
2025-03,unknown,-1.0,-0.14983742639236428,1.0
2025-04,entertainment,-64.44,5.493652972318604,64.44
2025-04,food,-169.76,14.472416644643177,169.76
2025-04,insurance,-363.78,31.013052114681283,363.78
2025-04,other,-40.44,3.4475997237828113,40.44
2025-04,transport,-25.5,2.1739315765692804,25.5
2025-04,transportation,-197.62,16.847543457318476,197.62
2025-04,trips,-262.70000000000005,22.395757849598038,262.70000000000005
2025-04,unforesceen_expenses,-13.9,1.1850058397769803,13.9
2025-04,unknown,-34.85,2.97103982131135,34.85
2025-05,entertainment,-43.49,2.7901098337097108,43.49
2025-05,food,-243.03,15.59163929377951,243.03
2025-05,insurance,-149.5,9.591203038390473,149.5
2025-05,rent,-723.1,46.390628207760216,723.1
2025-05,sports,-122.0,7.826934920960789,122.0
2025-05,transportation,-104.3,6.691387805378772,104.3
2025-05,trips,-159.5,10.232755081092177,159.5
2025-05,unknown,-13.8,0.8853418189283514,13.8
2025-06,entertainment,-65.19,3.4430853086576243,65.19
2025-06,food,-264.95,13.993640934634724,264.95
2025-06,insurance,-149.5,7.896015549076774,149.5
2025-06,internet_tv,-260.64,13.766003295728229,260.64
2025-06,other,-99.61,5.261017450458445,99.61
2025-06,rent,-377.73,19.95024717961719,377.73
2025-06,sports,-421.5,22.2620103942198,421.5
2025-06,transportation,-145.56,7.687919888452275,145.56
2025-06,trips,-93.0,4.911902649258462,93.0
2025-06,unforesceen_expenses,4.32,-0.2281658004816834,-4.32
2025-06,unknown,-20.0,1.0563231503781638,20.0
2025-07,entertainment,-120.09,7.301546767838903,120.09
2025-07,food,-144.92,8.811226226956563,144.92
2025-07,gifts,-4.4,0.2675227394328518,4.4
2025-07,insurance,-149.5,9.089693078457122,149.5
2025-07,other,-446.77,27.16389415827618,446.77
2025-07,rent,-377.73,22.966219174084344,377.73
2025-07,sports,-154.0,9.363295880149812,154.0
2025-07,transportation,-197.51999999999998,12.00933897563111,197.51999999999998
2025-07,unknown,-49.79,3.0272629991731113,49.79
2025-08,entertainment,-39.47,2.6580377526213357,39.47
2025-08,food,-98.17,6.611086044460008,98.17
2025-08,insurance,-149.5,10.067814644461356,149.5
2025-08,other,-452.58,30.47820435980147,452.58
2025-08,transportation,-55.0,3.703878297293475,55.0
2025-08,trips,-690.21,46.48097890136235,690.21
2025-09,entertainment,-55.49,2.2093222329722133,55.49
2025-09,food,-352.08,14.017988318343066,352.08
2025-09,gifts,-84.73,3.373506448003886,84.73
2025-09,insurance,-149.5,5.952309854556603,149.5
2025-09,other,-53.18,2.117350087393446,53.18
2025-09,transportation,-231.98000000000002,9.23623304387987,231.98000000000002
2025-09,trips,-1584.67,63.09329001485091,1584.67
